Temperature,Pressure,Data
17.5,226.077,878.625
17.5,233.367,879.104
17.5,240.656,506.144
17.5,247.946,502.86
17.5,255.235,499.527
17.5,262.525,496.143
17.5,269.815,492.706
17.5,277.104,489.217
17.5,284.394,485.673
17.5,291.683,482.073
17.5,298.973,478.415
17.5,306.263,474.699
17.5,313.552,470.923
17.5,320.842,467.084
17.5,328.131,463.182
17.5,335.421,459.215
17.5,342.71,524.447
17.5,350.0,521.417
19.7917,0.1,746.899
19.7917,1.01325,755.271
19.7917,7.38958,763.406
19.7917,14.6792,771.237
19.7917,21.9688,778.736
19.7917,29.2583,785.895
19.7917,36.5479,792.729
19.7917,43.8375,799.262
19.7917,51.1271,805.529
19.7917,58.4167,811.567
19.7917,65.7063,817.41
19.7917,72.9958,823.082
19.7917,80.2854,823.938
19.7917,87.575,828.59
19.7917,94.8646,833.919
19.7917,102.154,839.037
19.7917,109.444,843.899
19.7917,116.733,848.459
19.7917,124.023,852.679
19.7917,131.313,856.534
19.7917,138.602,860.015
19.7917,145.892,863.123
19.7917,153.181,865.871
19.7917,160.471,868.277
19.7917,167.76,870.365
19.7917,175.05,872.157
19.7917,182.34,873.678
19.7917,189.629,874.951
19.7917,196.919,875.999
19.7917,204.208,876.842
19.7917,211.498,877.499
19.7917,218.788,518.087
19.7917,226.077,515.025
19.7917,233.367,511.921
19.7917,240.656,508.773
19.7917,247.946,505.581
19.7917,255.235,502.343
19.7917,262.525,499.058
19.7917,269.815,495.726
19.7917,277.104,492.345
19.7917,284.394,488.914
19.7917,291.683,485.433
19.7917,298.973,481.9
19.7917,306.263,478.314
19.7917,313.552,474.674
19.7917,320.842,470.978
19.7917,328.131,467.226
19.7917,335.421,463.416
19.7917,342.71,526.891
19.7917,350.0,523.922
22.0833,0.1,784.622
22.0833,1.01325,789.363
22.0833,7.38958,794.355
22.0833,14.6792,799.494
22.0833,21.9688,804.702
22.0833,29.2583,809.927
22.0833,36.5479,815.127
22.0833,43.8375,820.268
22.0833,51.1271,825.319
22.0833,58.4167,830.246
22.0833,65.7063,835.015
22.0833,72.9958,839.588
22.0833,80.2854,840.271
22.0833,87.575,843.932
22.0833,94.8646,848.017
22.0833,102.154,851.82
22.0833,109.444,855.328
22.0833,116.733,858.533
22.0833,124.023,861.437
22.0833,131.313,864.047
22.0833,138.602,866.373
22.0833,145.892,868.429
22.0833,153.181,870.231
22.0833,160.471,871.794
22.0833,167.76,873.136
22.0833,175.05,537.495
22.0833,182.34,534.733
22.0833,189.629,531.935
22.0833,196.919,529.101
22.0833,204.208,526.229
22.0833,211.498,523.321
22.0833,218.788,520.374
22.0833,226.077,517.387
22.0833,233.367,514.361
22.0833,240.656,511.295
22.0833,247.946,508.187
22.0833,255.235,505.037
22.0833,262.525,501.845
22.0833,269.815,498.608
22.0833,277.104,495.327
22.0833,284.394,492.0
22.0833,291.683,488.627
22.0833,298.973,485.207
22.0833,306.263,481.739
22.0833,313.552,478.222
22.0833,320.842,474.655
22.0833,328.131,471.037
22.0833,335.421,467.368
22.0833,342.71,529.557
22.0833,350.0,526.668
24.375,0.1,822.908
24.375,1.01325,824.573
24.375,7.38958,634.045
24.375,14.6792,629.036
24.375,21.9688,623.933
24.375,29.2583,618.731
24.375,36.5479,613.429
24.375,43.8375,608.023
24.375,51.1271,602.509
24.375,58.4167,847.89
24.375,65.7063,850.917
24.375,72.9958,853.814
24.375,80.2854,854.245
24.375,87.575,856.556
24.375,94.8646,859.127
24.375,102.154,861.516
24.375,109.444,863.715
24.375,116.733,865.723
24.375,124.023,867.541
24.375,131.313,869.171
24.375,138.602,870.62
24.375,145.892,871.895
24.375,153.181,873.002
24.375,160.471,873.951
24.375,167.76,541.999
24.375,175.05,539.327
24.375,182.34,536.621
24.375,189.629,533.882
24.375,196.919,531.108
24.375,204.208,528.3
24.375,211.498,525.457
24.375,218.788,522.578
24.375,226.077,519.662
24.375,233.367,516.709
24.375,240.656,513.718
24.375,247.946,510.689
24.375,255.235,507.621
24.375,262.525,504.514
24.375,269.815,501.366
24.375,277.104,498.176
24.375,284.394,494.945
24.375,291.683,491.672
24.375,298.973,488.355
24.375,306.263,484.995
24.375,313.552,481.59
24.375,320.842,478.139
24.375,328.131,474.643
24.375,335.421,471.1
24.375,342.71,532.117
24.375,350.0,529.302
26.6667,0.1,646.18
26.6667,1.01325,641.455
26.6667,7.38958,636.646
26.6667,14.6792,631.75
26.6667,21.9688,626.766
26.6667,29.2583,621.689
26.6667,36.5479,616.52
26.6667,43.8375,611.253
26.6667,51.1271,605.887
26.6667,58.4167,860.281
26.6667,65.7063,861.927
26.6667,72.9958,863.535
26.6667,80.2854,863.777
26.6667,87.575,865.083
26.6667,94.8646,866.553
26.6667,102.154,867.932
26.6667,109.444,869.212
26.6667,116.733,870.385
26.6667,124.023,871.448
26.6667,131.313,872.398
26.6667,138.602,873.237
26.6667,145.892,625.027
26.6667,153.181,617.816
26.6667,160.471,610.456
26.6667,167.76,602.944
26.6667,175.05,541.102
26.6667,182.34,538.45
